Search_Tgt,Target_name,RA(J2000),Dec(J2000),NAIF_ID,Instrument/Mode,AORKEY,AOR_label,reqbegintime,reqendtime,progid,PI
GRB141121A,GRB141121A,122.66925,22.217167,,IRAC Map PC,62073856,GRB141121A,2017-07-07 08:29:03,2017-07-07 09:33:47,13104,"Perley, Daniel A"
GRB141109A,GRB141109A,144.530833,-0.6079439999999999,,IRAC Map PC,62073600,GRB141109A,2018-03-02 03:23:06,2018-03-02 06:41:46,13104,"Perley, Daniel A"
GRB141028A,GRB141028A,322.60225,-0.23130599999999998,,IRAC Map PC,62073344,GRB141028A,2017-02-22 08:57:17,2017-02-22 11:09:49,13104,"Perley, Daniel A"
GRB141026A,31345 1998 PG,,,2031345.0,IRAC Map PC,53352704,IRACPC-1998pg-LC-rev,2015-11-19 21:01:34,2015-11-19 23:23:19,11097,"Rozitis, Ben"
GRB141017A,GRB141017A,93.630333,-58.582361,,IRAC Map PC,62073088,GRB141017A,2017-01-17 19:03:55,2017-01-17 20:08:39,13104,"Perley, Daniel A"
GRB141004A,GRB141004A,76.734042,12.819666999999999,,IRAC Map PC,62072832,GRB141004A,2016-12-16 22:09:30,2016-12-16 22:38:41,13104,"Perley, Daniel A"
GRB140927A,GRB140927A,291.792083,-65.393361,,IRAC Map PC,54906368,GRB140927A,2016-07-07 14:32:05,2016-07-07 16:41:37,11116,"Perley, Daniel A"
GRB140916A,GRB140916A,40.3995,-39.686444,,IRAC Map PC,62072576,GRB140916A,2017-10-25 01:31:00,2017-10-25 03:40:31,13104,"Perley, Daniel A"
GRB140730A,GRB140730A,56.39895799999999,-66.545167,,IRAC Map PC,62072064,GRB140730A,2016-11-05 14:58:00,2016-11-05 16:02:44,13104,"Perley, Daniel A"
GRB140730A,Planck-713,56.290792,-66.47130600000001,,IRAC Map PC,45580288,Planck-713,2012-11-03 12:38:57,2012-11-03 12:49:41,80162,"Lawrence, Charles"
GRB140719A,2MA1126-5003,171.666292,-50.065278,,IRAC Map PC,34725376,epoch2-2MA1126-5003,2009-08-18 21:55:34,2009-08-18 22:00:09,60046,"Luhman, Kevin L"
GRB140719A,2MA1126-5003,171.666292,-50.065278,,IRAC Map,21981952,2MA1126-5003,2007-06-30 05:38:08,2007-06-30 05:44:41,40198,"Fazio, Giovanni"
GRB140713A,GRB140713A,281.107,59.633639,,IRAC Map PC,62071808,GRB140713A,2016-11-08 04:37:27,2016-11-08 06:46:58,13104,"Perley, Daniel A"
GRB140710A,GRB140710A,41.067917,35.499194,,IRAC Map PC,54906112,GRB140710A,2015-11-11 15:36:17,2015-11-11 16:05:28,11116,"Perley, Daniel A"
GRB140706A,GRB140706A,49.293292,-38.052167,,IRAC Map PC,62071552,GRB140706A,2016-12-17 12:49:18,2016-12-17 13:54:03,13104,"Perley, Daniel A"
GRB140706A,GRB140706A,49.293292,-38.052167,,IRAC Map PC,63314176,GRB140706A - ch2,2017-10-25 03:42:21,2017-10-25 04:47:06,13104,"Perley, Daniel A"
GRB140703A,GRB140703A,12.996042,45.101667,,IRAC Map PC,54905856,GRB140703A,2016-10-25 03:17:32,2016-10-25 07:42:11,11116,"Perley, Daniel A"
GRB140629A,GRB140629A,248.976833,41.876861,,IRAC Map PC,54905600,GRB140629A,2015-06-05 16:48:20,2015-06-05 19:00:48,11116,"Perley, Daniel A"
GRB140629A,ELAIS_N2,249.2,41.029167,,IRAC Map,5861632,ELAIS_N2-IRAC-col2-row2-cvg2,2004-07-06 22:15:19,2004-07-07 01:07:38,183,"Lonsdale, Carol"
GRB140629A,ELAIS_N2,249.2,41.029167,,IRAC Map,5861376,ELAIS_N2-IRAC-col2-row2-cvg1,2004-07-06 16:04:26,2004-07-06 18:56:55,183,"Lonsdale, Carol"
GRB140628A,GRB140628A,40.666167,-0.384917,,IRAC Map PC,54905344,GRB140628A,2015-11-09 03:10:59,2015-11-09 05:20:29,11116,"Perley, Daniel A"
GRB140626A,GRB140626A,77.378292,-82.630611,,IRAC Map PC,54905088,GRB140626A,2015-06-05 03:31:04,2015-06-05 05:40:36,11116,"Perley, Daniel A"
GRB140619A,GRB140619A,27.108958,-39.259056,,IRAC Map PC,54904832,GRB140619A,2015-10-31 11:01:57,2015-10-31 13:11:29,11116,"Perley, Daniel A"
GRB140614B,GRB140614B,322.63125,14.929694,,IRAC Map PC,54904576,GRB140614B,2016-09-05 17:30:39,2016-09-05 19:40:10,11116,"Perley, Daniel A"
GRB140614A,GRB140614A,231.169375,-79.12875,,IRAC Map PC,60118528,GRB140614A_ch2,2016-08-09 17:24:39,2016-08-09 20:43:24,11116,"Perley, Daniel A"
GRB140614A,GRB140614A,231.169375,-79.12875,,IRAC Map PC,54904320,GRB140614A,2015-06-12 18:01:06,2015-06-12 21:19:42,11116,"Perley, Daniel A"
GRB140518A,GRB140518A,227.25258300000002,42.418306,,IRAC Map PC,60118016,GRB140518A_ch2,2016-09-15 14:44:45,2016-09-15 18:03:22,11116,"Perley, Daniel A"
GRB140518A,GRB140518A,227.25258300000002,42.418306,,IRAC Map PC,54904064,GRB140518A,2015-06-02 11:17:56,2015-06-02 15:42:55,11116,"Perley, Daniel A"
GRB140515A,GRB140515A,186.064625,15.104610999999998,,IRAC Map PC,60118272,GRB140515A_ch2,2016-08-28 09:52:14,2016-08-28 13:11:18,11116,"Perley, Daniel A"
GRB140515A,GRB140515A,186.064625,15.104610999999998,,IRAC Map PC,54903808,GRB140515A,2016-09-09 08:56:42,2016-09-09 13:21:17,11116,"Perley, Daniel A"
GRB140512A,GRB140512A,289.369917,-15.094222,,IRAC Map PC,62071296,GRB140512A,2016-12-30 11:14:44,2016-12-30 11:58:55,13104,"Perley, Daniel A"
GRB140506A,GRB140506A,276.775125,-55.635778,,IRAC Map PC,54903552,GRB140506A,2015-07-04 20:05:46,2015-07-04 20:49:54,11116,"Perley, Daniel A"
GRB140502A,90.89286GLIMPSE,318.407892,49.30788,,IRAC Map PC,37881088,l090.89286+00.48000.20090907,2009-09-08 02:51:58,2009-09-08 04:06:55,60020,"Whitney, Barbara A"
GRB140428A,DF07,194.257133,28.390292,,IRAC Map PC,66132992,DF07_ch1,2018-09-26 15:28:00,2018-09-26 17:00:06,14114,"Romanowsky, Aaron J"
GRB140428A,GRB140428A,194.368292,28.385056,,IRAC Map PC,62071040,GRB140428A,2017-09-21 22:35:03,2017-09-22 01:53:36,13104,"Perley, Daniel A"
GRB140423A,GRB140423A,197.285583,49.8415,,IRAC Map PC,54903296,GRB140423A,2016-07-23 04:02:00,2016-07-23 08:27:10,11116,"Perley, Daniel A"
GRB140423A,MOO_1309+4949,197.39891699999998,49.824921999999994,,IRAC Map PC,48727296,ID - MOO_1309+4949,2013-06-28 15:21:08,2013-06-28 15:29:12,90177,"Gonzalez, Anthony H"
GRB140419A,GRB140419A,126.989833,46.240306,,IRAC Map PC,54903040,GRB140419A,2016-01-16 06:43:39,2016-01-16 11:08:24,11116,"Perley, Daniel A"
GRB140413A,GRB140413A,65.455125,-51.182778000000006,,IRAC Map PC,54902784,GRB140413A,2015-11-10 21:57:07,2015-11-11 00:06:38,11116,"Perley, Daniel A"
GRB140331A,GRB140331A,134.864417,2.717306,,IRAC Map PC,54902528,GRB140331A,2016-07-26 11:52:22,2016-07-26 14:01:53,11116,"Perley, Daniel A"
GRB140320A,29.90094GLIMPSE,281.47648399999997,-2.6972720000000003,,IRAC Map PC,61050368,l029.90094+00.00000.20180115,2018-01-16 19:49:35,2018-01-16 21:40:34,13117,"Benjamin, Robert A"
GRB140320A,W43-pos1-1,281.595833,-2.516667,,IRAC Map PC,45847552,IRACPC-OERC-W43-1,2012-11-24 11:00:09,2012-11-24 17:27:15,80058,"Hora, Joseph"
GRB140320A,G030.14-00.06,281.651667,-2.522806,,IRAC Map PC,51107584,IRAC-G030.14-00.06,2014-11-29 15:46:08,2014-11-29 16:38:46,10012,"Hora, Joseph"
GRB140320A,29.88245GLIMPSE,281.480585,-2.720155,,IRAC Map,9244672,l029.88245-00.01409.20040421,2004-04-22 10:05:30,2004-04-22 11:11:46,186,"Churchwell, Ed"
GRB140318A,GRB140318A,184.08925,20.209139,,IRAC Map PC,54902272,GRB140318A,2015-09-21 19:07:07,2015-09-21 19:51:18,11116,"Perley, Daniel A"
GRB140311A,GRB140311A,209.305375,0.642139,,IRAC Map PC,54902016,GRB140311A,2015-09-26 14:32:52,2015-09-26 18:57:40,11116,"Perley, Daniel A"
GRB140304A,GRB140304A,30.64275,33.473806,,IRAC Map PC,54901760,GRB140304A,2015-11-10 07:09:08,2015-11-10 11:33:41,11116,"Perley, Daniel A"
GRB140301A,GRB140301A,69.557417,-34.256528,,IRAC Map PC,54901504,GRB140301A,2015-11-08 16:19:19,2015-11-08 17:24:04,11116,"Perley, Daniel A"
GRB140226A,GRB140226A,221.491792,14.993972,,IRAC Map PC,54901248,GRB140226A,2016-05-22 13:50:28,2016-05-22 16:03:08,11116,"Perley, Daniel A"
GRB140215A,GRB140215A,104.149292,41.786611,,IRAC Map PC,54900992,GRB140215A,2016-01-01 23:43:39,2016-01-02 01:53:11,11116,"Perley, Daniel A"
GRB140213A,GRB140213A,105.15454199999999,-73.13708299999999,,IRAC Map PC,54900736,GRB140213A,2015-06-05 05:42:52,2015-06-05 06:47:37,11116,"Perley, Daniel A"
GRB140206A,GRB140206A,145.33420800000002,66.760472,,IRAC Map PC,54900480,GRB140206A,2016-01-11 10:59:41,2016-01-11 14:18:21,11116,"Perley, Daniel A"
GRB140129A,GRB140129A,37.89075,-1.595222,,IRAC Map PC,54900224,GRB140129A,2015-11-09 01:00:05,2015-11-09 03:09:37,11116,"Perley, Daniel A"
GRB140102A,GRB140102A,211.919375,1.333278,,IRAC Map PC,54899712,GRB140102A,2015-10-23 19:04:38,2015-10-23 21:14:09,11116,"Perley, Daniel A"
GRB131229A,GRB131229A,85.231708,-4.396306,,IRAC Map PC,54899456,GRB131229A,2015-06-12 21:27:40,2015-06-12 23:37:11,11116,"Perley, Daniel A"
GRB131229A,ob_1,85.147675,-3.954485,,IRAC Map PC,40840448,ob_epoch-1 - 0003,2010-11-21 14:45:44,2010-11-21 17:41:15,70044,"Megeath, Tom"
GRB131227A,tau 1,69.242917,26.037194,,IRAC Map,11231744,tauirac5-1,2005-02-24 02:39:11,2005-02-24 05:14:55,3584,"Padgett, Deborah"
GRB131227A,tau 1,69.242917,26.037194,,IRAC Map,11235584,tauirac5-1b,2005-02-24 13:04:41,2005-02-24 15:41:09,3584,"Padgett, Deborah"
GRB131227A,tau 1,69.242917,26.037194,,IRAC Map,11232256,tauirac6-1,2005-02-23 18:34:56,2005-02-23 20:45:32,3584,"Padgett, Deborah"
GRB131227A,tau 1,69.242917,26.037194,,IRAC Map,11236096,tauirac6-1b,2005-02-24 00:28:48,2005-02-24 02:39:05,3584,"Padgett, Deborah"
GRB131215A,WISE1716-07,259.024317,-7.499077000000001,,IRAC Map PC,44782336,Ch1&2 (epoch1) - WISE1716-07,2012-05-12 22:20:17,2012-05-12 22:26:55,80109,"Kirkpatrick, J.Davy"
GRB131202A,GRB131202A,344.054125,-21.662360999999997,,IRAC Map PC,54899200,GRB131202A,2016-03-05 01:24:32,2016-03-05 03:34:03,11116,"Perley, Daniel A"
GRB131128A,GRB131128A,355.307458,31.306194,,IRAC Map PC,54898944,GRB131128A,2015-11-03 00:07:57,2015-11-03 02:17:29,11116,"Perley, Daniel A"
GRB131127A,GRB131127A,332.729917,36.609417,,IRAC Map PC,62070528,GRB131127A,2017-02-19 09:21:29,2017-02-19 11:31:00,13104,"Perley, Daniel A"
GRB131117A,GRB131117A,332.330667,-31.762306,,IRAC Map PC,54898688,GRB131117A,2016-09-14 12:58:16,2016-09-14 16:17:11,11116,"Perley, Daniel A"
GRB131105A,GRB131105A,70.967792,-62.995472,,IRAC Map PC,54898432,GRB131105A,2015-11-11 00:09:04,2015-11-11 01:13:49,11116,"Perley, Daniel A"
GRB131103A,GRB131103A,348.91895800000003,-44.640389,,IRAC Map PC,54898176,GRB131103A,2015-09-19 21:32:45,2015-09-19 21:49:27,11116,"Perley, Daniel A"
GRB131030A,GRB131030A,345.0675,-5.368472,,IRAC Map PC,54897920,GRB131030A,2016-03-04 17:32:24,2016-03-04 18:37:09,11116,"Perley, Daniel A"
GRB131024A,GRB131024A,290.482,-64.602722,,IRAC Map PC,54897664,GRB131024A,2016-06-27 14:11:49,2016-06-27 16:21:20,11116,"Perley, Daniel A"
GRB130929A,RCW38 Cluster,134.77375,-47.511389,,IRAC Map,14124544,IRAC-RCW38-Outer,2006-06-05 05:53:31,2006-06-05 06:58:10,20127,"Wolk, Scott J"
GRB130929A,RCW38 Cluster,134.772,-47.511389,,IRAC Map,14125312,IRAC-RCW38-Outer Epoch B,2007-02-21 19:42:01,2007-02-21 20:44:47,20127,"Wolk, Scott J"
GRB130929A,268.17447GLIMPSE,134.370714,-48.052584,,IRAC Map PC,45637120,l268.17447-01.61600.20120528,2012-05-29 08:21:22,2012-05-29 09:26:34,80074,"Whitney, Barbara A"
GRB130929A,267.93918GLIMPSE,134.142423,-47.87384,,IRAC Map PC,45633024,l267.93918-01.61600.20120528,2012-05-29 07:15:03,2012-05-29 08:20:15,80074,"Whitney, Barbara A"
GRB130929A,rcw38,134.77375,-47.511389,,IRAC Map,15296000,IRAC-rcw38 - Epoch B,2007-02-21 20:45:35,2007-02-21 22:44:54,20127,"Wolk, Scott J"
GRB130929A,268.43289GLIMPSE,135.874028,-47.512319,,IRAC Map,23678464,l268.43289-00.50000.20080301,2008-03-04 14:43:37,2008-03-04 15:45:23,40791,"Majewski, Steven R"
GRB130925A,GRB130925A,41.179,-26.153083,,IRAC Map PC,62070016,GRB130925A,2016-12-01 13:57:40,2016-12-01 14:26:51,13104,"Perley, Daniel A"
GRB130925A,GRB130925A,41.17875,-26.153,,IRAC Map PC,50947840,GRB130925A,2014-10-07 13:06:24,2014-10-07 13:52:05,10098,"Stern, Daniel"
GRB130907A,GRB130907A,215.891625,45.607611,,IRAC Map PC,62069760,GRB130907A,2017-04-26 01:23:11,2017-04-26 01:52:22,13104,"Perley, Daniel A"
GRB130907A,GRB130907A,215.891625,45.607611,,IRAC Map PC,54897408,GRB130907A,2015-08-12 01:22:38,2015-08-12 02:27:24,11116,"Perley, Daniel A"
GRB130831A,GRB130831A,358.62458300000003,29.429667,,IRAC Map PC,62069504,GRB130831A,2016-11-03 20:31:47,2016-11-03 22:44:29,13104,"Perley, Daniel A"
GRB130831A,GRB130831A,358.62458300000003,29.429667,,IRAC Map PC,54897152,GRB130831A,2015-09-25 20:21:08,2015-09-25 20:50:20,11116,"Perley, Daniel A"
GRB130829A,NGC4144,182.494167,46.457167,,IRAC Map PC,42253056,IRAC-0102 NGC4144 B,2011-08-02 19:15:44,2011-08-03 02:18:35,80025,"van Zee, Liese"
GRB130829A,NGC4144,182.494167,46.457167,,IRAC Map PC,42252800,IRAC-0101 NGC4144 A,2012-03-16 01:33:25,2012-03-16 08:38:52,80025,"van Zee, Liese"
GRB130829A,ngc 4144,182.494167,46.457167,,IRAC Map,14479104,IRAC-NGC 4144,2005-12-24 17:58:15,2005-12-24 18:20:45,20268,"de Jong, Roelof S"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60145408,MGP16_OB161190_W4_E04_T002_wk763_p2_s2_n030,2016-07-10 11:46:29,2016-07-10 11:50:13,12138,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60131072,MGP16_OB161190_W4_E12_T005_wk763_p7_s1_n014,2016-07-15 10:40:59,2016-07-15 10:44:42,12138,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60190976,MGP16_OB161190_W4_E09_T004_wk763_p6_s1_n036,2016-07-14 04:35:28,2016-07-14 04:39:11,12138,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60221184,MGP16_OB161190_W4_E07_T003_wk763_p4_s2_n008,2016-07-11 21:39:32,2016-07-11 21:43:14,12138,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60253952,MGP16_OB161190_W4_E02_T001_wk763_p1_s2_n002,2016-07-09 09:29:50,2016-07-09 09:33:32,12138,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60350976,MGP16_OB161190_W5_E07_T001_wk764_p3_s1_n013,2016-07-18 08:44:55,2016-07-18 08:48:39,12139,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60318976,MGP16_OB161190_W5_E02_T001_wk764_p1_s2_n046,2016-07-16 11:27:58,2016-07-16 11:31:41,12139,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60380928,MGP16_OB161190_W5_E10_T001_wk764_p4_s1_n016,2016-07-20 08:54:34,2016-07-20 08:58:17,12139,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60391168,MGP16_OB161190_W5_E05_T001_wk764_p2_s2_n047,2016-07-17 18:41:01,2016-07-17 18:44:44,12139,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60443136,MGP16_OB161190_W5_E13_T001_wk764_p5_s2_n036,2016-07-22 00:08:10,2016-07-22 00:11:54,12139,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60529664,MGP16_OB161190_W6_E02_T001_wk765_p1_s2_n011,2016-07-22 22:55:11,2016-07-22 22:58:54,12140,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60518656,MGP16_OB161190_W6_E08_T001_wk765_p2_s2_n013,2016-07-25 13:46:13,2016-07-25 13:49:57,12140,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60583424,MGP16_OB161190_W6_E05_T001_wk765_p1_s5_n046,2016-07-24 11:27:49,2016-07-24 11:31:33,12140,"Gould, Andrew"
GRB130807A,OB161190,269.717917,-27.613556,,IRAC Map PC,60568832,MGP16_OB161190_W6_E07_T001_wk765_p2_s1_n022,2016-07-25 06:45:13,2016-07-25 06:48:57,12140,"Gould, Andrew"
GRB130807A,2.85073GLIMPSE,270.24933,-27.622481,,IRAC Map,21313536,l002.85073-02.25000.20070514,2007-05-15 11:40:14,2007-05-15 12:08:33,30570,"Benjamin, Robert A"
GRB130807A,2.86352GLIMPSE,270.256462,-27.611371999999996,,IRAC Map,21308160,l002.86352-02.25000.20070508,2007-05-12 06:34:59,2007-05-12 07:18:58,30570,"Benjamin, Robert A"
GRB130807A,OB150843_MB150245,271.197042,-27.176471999999997,,IRAC Map PC,56763904,MGP15_OB150843_MB150245_W3_E08_T011_wk708_p8_s0010,2015-06-23 15:52:54,2015-06-23 16:01:20,11191,"Gould, Andrew"
GRB130807A,OB150034_MB150245,270.580333,-27.516083000000002,,IRAC Map PC,56769280,MGP15_OB150034_MB150245_W3_E01_T002_wk708_p1_s0076,2015-06-19 09:27:26,2015-06-19 09:35:42,11191,"Gould, Andrew"
GRB130807A,OB150034_OB150772,270.580333,-27.516083000000002,,IRAC Map PC,56756992,MGP15_OB150034_OB150772_W3_E07_T009_wk708_p7_s0034,2015-06-22 22:18:42,2015-06-22 22:27:00,11191,"Gould, Andrew"
GRB130807A,OB150843_MB150245,271.197042,-27.176471999999997,,IRAC Map PC,56860928,MGP15_OB150843_MB150245_W3_E04_T005_wk708_p4_s0026,2015-06-21 06:10:05,2015-06-21 06:18:31,11191,"Gould, Andrew"
GRB130807A,MB150245_OB150034,269.321,-27.857056,,IRAC Map PC,56830720,MGP15_MB150245_OB150034_W3_E09_T029_wk708_p9_s0040,2015-06-24 08:27:47,2015-06-24 08:36:04,11191,"Gould, Andrew"
GRB130807A,MB150245_OB150843,269.321,-27.857056,,IRAC Map PC,56843264,MGP15_MB150245_OB150843_W3_E10_T032_wk708_p10_s0020,2015-06-24 20:46:20,2015-06-24 20:54:46,11191,"Gould, Andrew"
GRB130807A,MB150245_OB150034,269.321,-27.857056,,IRAC Map PC,56838400,MGP15_MB150245_OB150034_W3_E07_T024_wk708_p7_s0103,2015-06-23 07:27:36,2015-06-23 07:35:53,11191,"Gould, Andrew"
GRB130807A,OB150034_MB150245,270.580333,-27.516083000000002,,IRAC Map PC,56891904,MGP15_OB150034_MB150245_W3_E06_T008_wk708_p6_s0063,2015-06-22 11:00:53,2015-06-22 11:09:11,11191,"Gould, Andrew"
GRB130807A,MB150245_OB150034,269.321,-27.857056,,IRAC Map PC,56913920,MGP15_MB150245_OB150034_W3_E03_T009_wk708_p3_s0092,2015-06-20 16:39:22,2015-06-20 16:47:38,11191,"Gould, Andrew"
GRB130807A,MB150245_OB150843,269.321,-27.857056,,IRAC Map PC,56948736,MGP15_MB150245_OB150843_W3_E06_T017_wk708_p6_s0022,2015-06-22 05:42:07,2015-06-22 05:50:34,11191,"Gould, Andrew"
GRB130807A,OB151253_OB150034,269.529708,-27.932,,IRAC Map PC,56952576,MGP15_OB151253_OB150034_W3_E04_T004_wk708_p4_s0079,2015-06-21 13:23:30,2015-06-21 13:31:45,11191,"Gould, Andrew"
GRB130807A,OB151167_OB151295,269.0245,-28.626361,,IRAC Map PC,57012736,MGP15_OB151167_OB151295_W4_E03_T003_wk709_p3_s0017,2015-06-28 00:53:10,2015-06-28 01:01:36,11192,"Gould, Andrew"
GRB130807A,MB150245_OB151435,269.321,-27.857056,,IRAC Map PC,57092352,MGP15_MB150245_OB151435_W4_E07_T007_wk709_p7_s0034,2015-07-01 18:36:10,2015-07-01 18:44:22,11192,"Gould, Andrew"
GRB130807A,OB151295_OB140613,270.226042,-27.302139,,IRAC Map PC,57194752,MGP15_OB151295_OB140613_W5_E06_T047_wk710_p6_s0085,2015-07-08 13:24:40,2015-07-08 13:33:13,11193,"Gould, Andrew"
GRB130807A,OB151435_OB150034,269.842167,-27.219222,,IRAC Map PC,57155072,MGP15_OB151435_OB150034_W4_E02_T002_wk709_p2_s0011,2015-06-27 04:59:56,2015-06-27 05:08:06,11192,"Gould, Andrew"
GRB130807A,OB151344_OB150034,268.93454199999996,-27.940028,,IRAC Map PC,57153536,MGP15_OB151344_OB150034_W4_E01_T003_wk709_p1_s0061,2015-06-26 03:16:13,2015-06-26 03:24:36,11192,"Gould, Andrew"
GRB130807A,OB151295_OB140613,270.226042,-27.302139,,IRAC Map PC,57189120,MGP15_OB151295_OB140613_W5_E03_T023_wk710_p3_s0095,2015-07-05 17:41:51,2015-07-05 17:50:22,11193,"Gould, Andrew"
GRB130807A,OB151295_OB140613,270.226042,-27.302139,,IRAC Map PC,57189376,MGP15_OB151295_OB140613_W5_E06_T041_wk710_p6_s0001,2015-07-08 02:30:06,2015-07-08 02:38:38,11193,"Gould, Andrew"
GRB130807A,OB140613_OB151295,268.490333,-28.572667,,IRAC Map PC,57199104,MGP15_OB140613_OB151295_W5_E03_T009_wk710_p3_s0013,2015-07-05 07:03:48,2015-07-05 07:12:17,11193,"Gould, Andrew"
GRB130807A,OB151295_OB140613,270.226042,-27.302139,,IRAC Map PC,57202176,MGP15_OB151295_OB140613_W5_E07_T055_wk710_p7_s0075,2015-07-09 11:47:02,2015-07-09 11:55:32,11193,"Gould, Andrew"
GRB130807A,OB140613_OB151295,268.490333,-28.572667,,IRAC Map PC,57208832,MGP15_OB140613_OB151295_W5_E02_T005_wk710_p2_s0047,2015-07-04 00:31:13,2015-07-04 00:39:44,11193,"Gould, Andrew"
GRB130807A,OB151341_OB151295,268.563667,-28.350167,,IRAC Map PC,57167360,MGP15_OB151341_OB151295_W4_E01_T002_wk709_p1_s0131,2015-06-26 12:50:15,2015-06-26 12:58:42,11192,"Gould, Andrew"
GRB130807A,OB151289_OB150925,269.461583,-28.217306,,IRAC Map PC,57210112,MGP15_OB151289_OB150925_W5_E03_T004_wk710_p3_s0167,2015-07-06 03:06:25,2015-07-06 03:14:54,11193,"Gould, Andrew"
GRB130807A,OB151295_OB140613,270.226042,-27.302139,,IRAC Map PC,57220352,MGP15_OB151295_OB140613_W5_E05_T033_wk710_p5_s0001,2015-07-07 07:30:40,2015-07-07 07:39:11,11193,"Gould, Andrew"
GRB130807A,OB140613_OB151295,268.490333,-28.572667,,IRAC Map PC,57218304,MGP15_OB140613_OB151295_W5_E01_T001_wk710_p1_s0010,2015-07-03 05:50:24,2015-07-03 05:58:54,11193,"Gould, Andrew"
GRB130807A,OB151295_OB150388,270.226042,-27.302139,,IRAC Map PC,57256192,MGP15_OB151295_OB150388_W5_E01_T002_wk710_p1_s0020,2015-07-03 07:07:18,2015-07-03 07:15:48,11193,"Gould, Andrew"
GRB130807A,OB151341_OB151295,268.563667,-28.350167,,IRAC Map PC,57245184,MGP15_OB151341_OB151295_W5_E03_T004_wk710_p3_s0140,2015-07-05 23:36:11,2015-07-05 23:44:39,11193,"Gould, Andrew"
GRB130807A,MB150245_OB151295,269.321,-27.857056,,IRAC Map PC,57266944,MGP15_MB150245_OB151295_W5_E07_T007_wk710_p7_s0019,2015-07-09 04:30:27,2015-07-09 04:38:42,11193,"Gould, Andrew"
GRB130807A,OB151344_OB151295,268.93454199999996,-27.940028,,IRAC Map PC,57216512,MGP15_OB151344_OB151295_W5_E03_T003_wk710_p3_s0038,2015-07-05 10:13:57,2015-07-05 10:22:17,11193,"Gould, Andrew"
GRB130807A,OB151341_OB151295,268.563667,-28.350167,,IRAC Map PC,57250048,MGP15_OB151341_OB151295_W5_E05_T005_wk710_p5_s0013,2015-07-07 09:05:37,2015-07-07 09:14:05,11193,"Gould, Andrew"
GRB130807A,MB150245_OB150925,269.321,-27.857056,,IRAC Map PC,57273088,MGP15_MB150245_OB150925_W5_E03_T003_wk710_p3_s0053,2015-07-05 12:15:10,2015-07-05 12:23:35,11193,"Gould, Andrew"
GRB130807A,OB151412_OB140613,270.124875,-27.435361,,IRAC Map PC,57317376,MGP15_OB151412_OB140613_W5_E01_T001_wk710_p1_s0057,2015-07-03 12:01:40,2015-07-03 12:10:09,11193,"Gould, Andrew"
GRB130807A,OB151167_OB151295,269.0245,-28.626361,,IRAC Map PC,57283328,MGP15_OB151167_OB151295_W5_E07_T007_wk710_p7_s0006,2015-07-09 02:46:02,2015-07-09 02:54:28,11193,"Gould, Andrew"
GRB130807A,OB151344_OB151295,268.93454199999996,-27.940028,,IRAC Map PC,57281280,MGP15_OB151344_OB151295_W5_E01_T001_wk710_p1_s0036,2015-07-03 09:10:29,2015-07-03 09:18:50,11193,"Gould, Andrew"
GRB130807A,OB151344_OB151295,268.93454199999996,-27.940028,,IRAC Map PC,57287168,MGP15_OB151344_OB151295_W5_E06_T006_wk710_p6_s0014,2015-07-08 04:18:12,2015-07-08 04:26:34,11193,"Gould, Andrew"
GRB130807A,MB150245_OB151295,269.321,-27.857056,,IRAC Map PC,57286144,MGP15_MB150245_OB151295_W5_E05_T005_wk710_p5_s0026,2015-07-07 10:47:53,2015-07-07 10:56:09,11193,"Gould, Andrew"
GRB130807A,MB150245_OB151295,269.321,-27.857056,,IRAC Map PC,57382656,MGP15_MB150245_OB151295_W5_E06_T006_wk710_p6_s0027,2015-07-08 06:00:25,2015-07-08 06:08:42,11193,"Gould, Andrew"
GRB130807A,2.22415GLIMPSE,268.991448,-27.703968,,IRAC Map PC,58057984,l002.22415-01.32500.20160711,2016-07-11 14:43:18,2016-07-11 15:19:44,12023,"Benjamin, Robert A"
GRB130807A,2.49006GLIMPSE,269.142182,-27.474135999999998,,IRAC Map PC,58058240,l002.49006-01.32500.20160711,2016-07-11 15:20:47,2016-07-11 15:57:13,12023,"Benjamin, Robert A"
